"","species","n_bio1","mean_bio1","sd_bio1","se_bio1","species.1","n_bio2","mean_bio2","sd_bio2","se_bio2","species.2","n_bio3","mean_bio3","sd_bio3","se_bio3","species.3","n_bio4","mean_bio4","sd_bio4","se_bio4","species.4","n_bio5","mean_bio5","sd_bio5","se_bio5","species.5","n_bio6","mean_bio6","sd_bio6","se_bio6","species.6","n_bio7","mean_bio7","sd_bio7","se_bio7","species.7","n_bio8","mean_bio8","sd_bio8","se_bio8","species.8","n_bio9","mean_bio9","sd_bio9","se_bio9","species.9","n_bio10","mean_bio10","sd_bio10","se_bio10","species.10","n_bio11","mean_bio11","sd_bio11","se_bio11","species.11","n_bio12","mean_bio12","sd_bio12","se_bio12","species.12","n_bio13","mean_bio13","sd_bio13","se_bio13","species.13","n_bio14","mean_bio14","sd_bio14","se_bio14","species.14","n_bio15","mean_bio15","sd_bio15","se_bio15","species.15","n_bio16","mean_bio16","sd_bio16","se_bio16","species.16","n_bio17","mean_bio17","sd_bio17","se_bio17","species.17","n_bio18","mean_bio18","sd_bio18","se_bio18","species.18","n_bio19","mean_bio19","sd_bio19","se_bio19"
"98","Rosa agrestis","485","111.86","31.27","1.42","Rosa agrestis","485","94.9","12.76","0.58","Rosa agrestis","485","35.77","3.31","0.15","Rosa agrestis","485","5884.2","621.58","28.22","Rosa agrestis","485","257.47","32.98","1.5","Rosa agrestis","485","-4.12","35.74","1.62","Rosa agrestis","485","261.58","25.94","1.18","Rosa agrestis","485","106.36","41.14","1.87","Rosa agrestis","485","147.61","85.93","3.9","Rosa agrestis","485","188.99","30.26","1.37","Rosa agrestis","485","39.33","36.26","1.65","Rosa agrestis","485","723.47","196.31","8.91","Rosa agrestis","485","91.93","24.92","1.13","Rosa agrestis","485","31.18","15.13","0.69","Rosa agrestis","485","30.13","11.14","0.51","Rosa agrestis","485","247.8","72.52","3.29","Rosa agrestis","485","117.29","45.01","2.04","Rosa agrestis","485","151.45","82.23","3.73","Rosa agrestis","485","187.1","76.22","3.46"
"99","Rubus gunnianus","55","70.2","11.16","1.5","Rubus gunnianus","55","81.25","6.66","0.9","Rubus gunnianus","55","47.35","1.22","0.16","Rubus gunnianus","55","3040.4","149.77","20.19","Rubus gunnianus","55","169.24","12.79","1.72","Rubus gunnianus","55","-0.62","10.58","1.43","Rubus gunnianus","55","169.85","11.23","1.51","Rubus gunnianus","55","41.44","13.96","1.88","Rubus gunnianus","55","109.56","10.94","1.48","Rubus gunnianus","55","109.6","10.94","1.48","Rubus gunnianus","55","31.13","11.84","1.6","Rubus gunnianus","55","1675.75","526.52","71","Rubus gunnianus","55","186.09","64.18","8.65","Rubus gunnianus","55","79.2","19.52","2.63","Rubus gunnianus","55","22.47","6.41","0.86","Rubus gunnianus","55","529.16","182.47","24.6","Rubus gunnianus","55","279.73","75.62","10.2","Rubus gunnianus","55","280.78","74.41","10.03","Rubus gunnianus","55","507.56","186.41","25.14"
"100","Geum aleppicum","1856","60.22","42.95","1","Geum aleppicum","1856","108.5","25.2","0.58","Geum aleppicum","1856","28.19","7.2","0.17","Geum aleppicum","1856","9698.43","2314.93","53.73","Geum aleppicum","1856","252.94","32.36","0.75","Geum aleppicum","1856","-131.93","73.68","1.71","Geum aleppicum","1856","384.87","72.05","1.67","Geum aleppicum","1856","160.7","54.9","1.27","Geum aleppicum","1856","-40.87","77.4","1.8","Geum aleppicum","1856","181.06","32.07","0.74","Geum aleppicum","1856","-68.04","68.06","1.58","Geum aleppicum","1856","828.45","377.13","8.75","Geum aleppicum","1856","123.56","65.25","1.51","Geum aleppicum","1856","32.01","23.41","0.54","Geum aleppicum","1856","45.42","26.32","0.61","Geum aleppicum","1856","331.66","168.59","3.91","Geum aleppicum","1856","107.83","74.31","1.72","Geum aleppicum","1856","317.93","168.52","3.91","Geum aleppicum","1856","122.99","90.6","2.1"
"101","Cotoneaster pannosus","456","143.47","23.59","1.1","Cotoneaster pannosus","456","116","24.34","1.14","Cotoneaster pannosus","456","50.58","8.53","0.4","Cotoneaster pannosus","456","3968.3","1289.49","60.39","Cotoneaster pannosus","456","260.44","34.7","1.62","Cotoneaster pannosus","456","30.69","38.34","1.8","Cotoneaster pannosus","456","229.75","45.95","2.15","Cotoneaster pannosus","456","139.02","45.73","2.14","Cotoneaster pannosus","456","145.07","60.26","2.82","Cotoneaster pannosus","456","193.01","27.73","1.3","Cotoneaster pannosus","456","91.84","30.91","1.45","Cotoneaster pannosus","456","837.77","298.13","13.96","Cotoneaster pannosus","456","136.48","61.06","2.86","Cotoneaster pannosus","456","24.65","22.36","1.05","Cotoneaster pannosus","456","56.38","30.43","1.43","Cotoneaster pannosus","456","370.6","165.92","7.77","Cotoneaster pannosus","456","86.58","73.27","3.43","Cotoneaster pannosus","456","222.54","189.95","8.9","Cotoneaster pannosus","456","211.29","159.22","7.46"
"102","Pyrus salicifolia","53","113.91","24.43","3.36","Pyrus salicifolia","53","102.21","8.41","1.16","Pyrus salicifolia","53","30.08","2","0.27","Pyrus salicifolia","53","8191.87","233.19","32.03","Pyrus salicifolia","53","291.55","21.9","3.01","Pyrus salicifolia","53","-43.3","29.13","4","Pyrus salicifolia","53","334.85","10.86","1.49","Pyrus salicifolia","53","151.15","32.18","4.42","Pyrus salicifolia","53","39.74","79.16","10.87","Pyrus salicifolia","53","216.92","25.28","3.47","Pyrus salicifolia","53","7.34","25.85","3.55","Pyrus salicifolia","53","567.96","109.58","15.05","Pyrus salicifolia","53","86.17","14.42","1.98","Pyrus salicifolia","53","23.83","4.35","0.6","Pyrus salicifolia","53","39.47","6.01","0.83","Pyrus salicifolia","53","221.96","39.8","5.47","Pyrus salicifolia","53","82.32","15.69","2.16","Pyrus salicifolia","53","160.94","51.36","7.05","Pyrus salicifolia","53","85.19","13.8","1.9"
"103","Cotoneaster glaucophyllus","225","138.92","19.84","1.32","Cotoneaster glaucophyllus","225","107.08","18.44","1.23","Cotoneaster glaucophyllus","225","48.45","1.95","0.13","Cotoneaster glaucophyllus","225","3953.16","825.55","55.04","Cotoneaster glaucophyllus","225","255.36","26.08","1.74","Cotoneaster glaucophyllus","225","35.81","26.55","1.77","Cotoneaster glaucophyllus","225","219.55","40.4","2.69","Cotoneaster glaucophyllus","225","132.02","50.91","3.39","Cotoneaster glaucophyllus","225","142.99","44.58","2.97","Cotoneaster glaucophyllus","225","188.72","22.05","1.47","Cotoneaster glaucophyllus","225","87.32","22.17","1.48","Cotoneaster glaucophyllus","225","954.84","482.42","32.16","Cotoneaster glaucophyllus","225","118.56","50.85","3.39","Cotoneaster glaucophyllus","225","45.12","31.25","2.08","Cotoneaster glaucophyllus","225","30.02","13.44","0.9","Cotoneaster glaucophyllus","225","327.36","146.17","9.74","Cotoneaster glaucophyllus","225","153.84","101.04","6.74","Cotoneaster glaucophyllus","225","209.42","146.84","9.79","Cotoneaster glaucophyllus","225","267.37","130.87","8.72"
"104","Cotoneaster coriaceus","153","141.41","26.74","2.16","Cotoneaster coriaceus","153","108.43","17.91","1.45","Cotoneaster coriaceus","153","47","3.9","0.32","Cotoneaster coriaceus","153","4266.69","740.71","59.88","Cotoneaster coriaceus","153","249.85","29.73","2.4","Cotoneaster coriaceus","153","21.29","32.14","2.6","Cotoneaster coriaceus","153","228.56","31.93","2.58","Cotoneaster coriaceus","153","159.53","59.91","4.84","Cotoneaster coriaceus","153","116.7","46.91","3.79","Cotoneaster coriaceus","153","192.4","26.72","2.16","Cotoneaster coriaceus","153","83.52","28.23","2.28","Cotoneaster coriaceus","153","993.73","304.33","24.6","Cotoneaster coriaceus","153","158.05","66.01","5.34","Cotoneaster coriaceus","153","34.19","25.98","2.1","Cotoneaster coriaceus","153","50.35","30.54","2.47","Cotoneaster coriaceus","153","433.46","180.01","14.55","Cotoneaster coriaceus","153","119.05","87.38","7.06","Cotoneaster coriaceus","153","377.5","208.72","16.87","Cotoneaster coriaceus","153","173.58","145.58","11.77"
"105","Rosa odorata","82","167.12","44.25","4.89","Rosa odorata","82","105.62","14.76","1.63","Rosa odorata","82","45.8","10.78","1.19","Rosa odorata","82","4603.09","1807.43","199.6","Rosa odorata","82","270.74","43.75","4.83","Rosa odorata","82","34.71","62.16","6.86","Rosa odorata","82","236.04","41.14","4.54","Rosa odorata","82","215.65","36.17","3.99","Rosa odorata","82","109.02","63.22","6.98","Rosa odorata","82","219.66","39.28","4.34","Rosa odorata","82","103.11","58.74","6.49","Rosa odorata","82","1216.21","388.17","42.87","Rosa odorata","82","246.18","64.03","7.07","Rosa odorata","82","18.38","15.94","1.76","Rosa odorata","82","81.12","12.38","1.37","Rosa odorata","82","655.4","180.3","19.91","Rosa odorata","82","65","51.01","5.63","Rosa odorata","82","577.01","125.72","13.88","Rosa odorata","82","84.01","106.41","11.75"
"106","Pyrus pashia","153","152.76","42.3","3.42","Pyrus pashia","153","108.57","14.67","1.19","Pyrus pashia","153","44.86","6.32","0.51","Pyrus pashia","153","4667.56","826.44","66.81","Pyrus pashia","153","254.14","40.67","3.29","Pyrus pashia","153","13.69","47.8","3.86","Pyrus pashia","153","240.45","19.2","1.55","Pyrus pashia","153","204.5","37.26","3.01","Pyrus pashia","153","89.44","47.58","3.85","Pyrus pashia","153","205.38","38.27","3.09","Pyrus pashia","153","87.12","46.49","3.76","Pyrus pashia","153","1125.18","265.4","21.46","Pyrus pashia","153","235.42","57.32","4.63","Pyrus pashia","153","10.91","4.77","0.39","Pyrus pashia","153","85.79","8.89","0.72","Pyrus pashia","153","638.07","153.36","12.4","Pyrus pashia","153","41.65","17.63","1.43","Pyrus pashia","153","627.45","140.94","11.39","Pyrus pashia","153","42.46","17.98","1.45"
"107","Crataegus phaenopyrum","28","122.07","23.01","4.35","Crataegus phaenopyrum","28","120.36","12.36","2.34","Crataegus phaenopyrum","28","41.25","10.62","2.01","Crataegus phaenopyrum","28","6506.36","2466.96","466.21","Crataegus phaenopyrum","28","276.11","23.44","4.43","Crataegus phaenopyrum","28","-27.32","51.12","9.66","Crataegus phaenopyrum","28","303.43","66.14","12.5","Crataegus phaenopyrum","28","181.32","39.55","7.47","Crataegus phaenopyrum","28","52.14","65.06","12.3","Crataegus phaenopyrum","28","202.93","21.74","4.11","Crataegus phaenopyrum","28","35.79","52.42","9.91","Crataegus phaenopyrum","28","852.18","122.13","23.08","Crataegus phaenopyrum","28","108.61","24.64","4.66","Crataegus phaenopyrum","28","41.25","11.98","2.26","Crataegus phaenopyrum","28","29.43","13.76","2.6","Crataegus phaenopyrum","28","290.96","57.33","10.83","Crataegus phaenopyrum","28","139.46","39.74","7.51","Crataegus phaenopyrum","28","262.75","70.89","13.4","Crataegus phaenopyrum","28","164.96","74.81","14.14"
"108","Spiraea douglasii","375","78.07","24.94","1.29","Spiraea douglasii","375","105.56","38.53","1.99","Spiraea douglasii","375","37.91","9.56","0.49","Spiraea douglasii","375","5883.15","1397.18","72.15","Spiraea douglasii","375","233.31","39.92","2.06","Spiraea douglasii","375","-39.36","42.96","2.22","Spiraea douglasii","375","272.67","62.98","3.25","Spiraea douglasii","375","53.07","61.78","3.19","Spiraea douglasii","375","112.85","67.56","3.49","Spiraea douglasii","375","155.22","20.72","1.07","Spiraea douglasii","375","6.97","38.18","1.97","Spiraea douglasii","375","1099.59","518.83","26.79","Spiraea douglasii","375","169.21","88.5","4.57","Spiraea douglasii","375","26.94","23.65","1.22","Spiraea douglasii","375","50.86","21.31","1.1","Spiraea douglasii","375","472.15","241.33","12.46","Spiraea douglasii","375","102.19","73.73","3.81","Spiraea douglasii","375","131.07","93.9","4.85","Spiraea douglasii","375","423.9","235.46","12.16"
"109","Cotoneaster divaricatus","1023","72.16","8.47","0.26","Cotoneaster divaricatus","1023","58.05","8.75","0.27","Cotoneaster divaricatus","1023","24.35","2.05","0.06","Cotoneaster divaricatus","1023","6266.99","726.56","22.72","Cotoneaster divaricatus","1023","196.67","14.57","0.46","Cotoneaster divaricatus","1023","-37.04","17.78","0.56","Cotoneaster divaricatus","1023","233.71","28.29","0.88","Cotoneaster divaricatus","1023","119.17","32.14","1","Cotoneaster divaricatus","1023","32.01","30.74","0.96","Cotoneaster divaricatus","1023","153.81","9.71","0.3","Cotoneaster divaricatus","1023","-4.94","15.72","0.49","Cotoneaster divaricatus","1023","832.5","354.96","11.1","Cotoneaster divaricatus","1023","98.57","46.87","1.47","Cotoneaster divaricatus","1023","41.57","15.58","0.49","Cotoneaster divaricatus","1023","25.75","4.14","0.13","Cotoneaster divaricatus","1023","280.62","134.66","4.21","Cotoneaster divaricatus","1023","138.54","51.58","1.61","Cotoneaster divaricatus","1023","219.01","60.63","1.9","Cotoneaster divaricatus","1023","180.93","97.38","3.04"
"110","Spiraea prunifolia","135","133.99","30.98","2.67","Spiraea prunifolia","135","105.41","22.81","1.96","Spiraea prunifolia","135","30.85","5.71","0.49","Spiraea prunifolia","135","8220.68","1277.17","109.92","Spiraea prunifolia","135","303.79","28.62","2.46","Spiraea prunifolia","135","-33.36","47.07","4.05","Spiraea prunifolia","135","337.14","47.48","4.09","Spiraea prunifolia","135","191.35","64.62","5.56","Spiraea prunifolia","135","53.68","74.52","6.41","Spiraea prunifolia","135","237.5","28.23","2.43","Spiraea prunifolia","135","25.73","41.63","3.58","Spiraea prunifolia","135","1226.19","416.37","35.84","Spiraea prunifolia","135","170.79","75.07","6.46","Spiraea prunifolia","135","52.67","28.22","2.43","Spiraea prunifolia","135","37.33","23.96","2.06","Spiraea prunifolia","135","453.9","186.15","16.02","Spiraea prunifolia","135","178.67","89.53","7.71","Spiraea prunifolia","135","406.67","185.08","15.93","Spiraea prunifolia","135","213.8","132.77","11.43"
"111","Potentilla uniflora","175","-39.02","45.99","3.48","Potentilla uniflora","175","108.97","24.81","1.88","Potentilla uniflora","175","28.55","7.78","0.59","Potentilla uniflora","175","9709.16","2666.03","201.53","Potentilla uniflora","175","161.93","35.61","2.69","Potentilla uniflora","175","-221.91","72.89","5.51","Potentilla uniflora","175","383.84","68.01","5.14","Potentilla uniflora","175","46.54","60.93","4.61","Potentilla uniflora","175","-77.35","89.16","6.74","Potentilla uniflora","175","86.07","25.48","1.93","Potentilla uniflora","175","-158.59","73.73","5.57","Potentilla uniflora","175","562.42","388","29.33","Potentilla uniflora","175","77.38","54.05","4.09","Potentilla uniflora","175","26.79","19.91","1.51","Potentilla uniflora","175","38.06","18.35","1.39","Potentilla uniflora","175","203.35","136.1","10.29","Potentilla uniflora","175","94.66","67.15","5.08","Potentilla uniflora","175","176.92","76.81","5.81","Potentilla uniflora","175","126.87","116.01","8.77"
"112","Photinia prunifolia","126","198.21","17.29","1.54","Photinia prunifolia","126","82.41","6.58","0.59","Photinia prunifolia","126","30.86","2.85","0.25","Photinia prunifolia","126","6418.68","930.88","82.93","Photinia prunifolia","126","324.14","15.19","1.35","Photinia prunifolia","126","59.4","26.66","2.38","Photinia prunifolia","126","264.75","31.52","2.81","Photinia prunifolia","126","241.48","23.88","2.13","Photinia prunifolia","126","132.8","27.72","2.47","Photinia prunifolia","126","273.78","12.43","1.11","Photinia prunifolia","126","110.67","26.17","2.33","Photinia prunifolia","126","1653.55","210.13","18.72","Photinia prunifolia","126","286.74","45.01","4.01","Photinia prunifolia","126","38.79","10.34","0.92","Photinia prunifolia","126","61.23","6.88","0.61","Photinia prunifolia","126","771.59","119.41","10.64","Photinia prunifolia","126","137.62","35.9","3.2","Photinia prunifolia","126","636.39","138.29","12.32","Photinia prunifolia","126","179.94","40.87","3.64"
"113","Rosa abyssinica","14","151.07","18.64","4.98","Rosa abyssinica","14","130.21","9.03","2.41","Rosa abyssinica","14","77.36","2.47","0.66","Rosa abyssinica","14","920.29","195.14","52.15","Rosa abyssinica","14","234.5","18.89","5.05","Rosa abyssinica","14","66.64","25.81","6.9","Rosa abyssinica","14","167.86","15.72","4.2","Rosa abyssinica","14","148.21","18.95","5.06","Rosa abyssinica","14","141.64","18.34","4.9","Rosa abyssinica","14","163.5","19.79","5.29","Rosa abyssinica","14","139.86","18.9","5.05","Rosa abyssinica","14","1036.14","148.08","39.58","Rosa abyssinica","14","213.21","55.12","14.73","Rosa abyssinica","14","10.86","4.42","1.18","Rosa abyssinica","14","71.86","16.06","4.29","Rosa abyssinica","14","523.36","147.53","39.43","Rosa abyssinica","14","55.29","17.92","4.79","Rosa abyssinica","14","299.86","96.38","25.76","Rosa abyssinica","14","116.21","205.98","55.05"
"114","Cliffortia atrata","100","144.36","16.91","1.69","Cliffortia atrata","100","108.25","17.21","1.72","Cliffortia atrata","100","53.75","1.43","0.14","Cliffortia atrata","100","3253.78","459.52","45.95","Cliffortia atrata","100","251.35","18.34","1.83","Cliffortia atrata","100","52.17","23.11","2.31","Cliffortia atrata","100","199.18","29.73","2.97","Cliffortia atrata","100","108.45","18.75","1.88","Cliffortia atrata","100","185.47","15.74","1.57","Cliffortia atrata","100","185.72","15.88","1.59","Cliffortia atrata","100","103.62","19.27","1.93","Cliffortia atrata","100","830.55","180.82","18.08","Cliffortia atrata","100","128.36","29.53","2.95","Cliffortia atrata","100","24.26","6.12","0.61","Cliffortia atrata","100","56.74","6.38","0.64","Cliffortia atrata","100","368.39","85.79","8.58","Cliffortia atrata","100","80.97","15.79","1.58","Cliffortia atrata","100","81.76","15.76","1.58","Cliffortia atrata","100","364.64","83.72","8.37"
"115","Aphanes cornucopioides","99","124.05","21.02","2.11","Aphanes cornucopioides","99","115.43","8.92","0.9","Aphanes cornucopioides","99","38.44","1.69","0.17","Aphanes cornucopioides","99","6105.7","456.19","45.85","Aphanes cornucopioides","99","296.14","28.87","2.9","Aphanes cornucopioides","99","-0.33","19.19","1.93","Aphanes cornucopioides","99","296.47","19.66","1.98","Aphanes cornucopioides","99","89.45","25.38","2.55","Aphanes cornucopioides","99","202.15","33.14","3.33","Aphanes cornucopioides","99","205.79","23.93","2.41","Aphanes cornucopioides","99","49.81","20","2.01","Aphanes cornucopioides","99","576.99","168.42","16.93","Aphanes cornucopioides","99","77.68","31.36","3.15","Aphanes cornucopioides","99","13.23","9.59","0.96","Aphanes cornucopioides","99","41.73","15.28","1.54","Aphanes cornucopioides","99","214.79","94.77","9.52","Aphanes cornucopioides","99","59.06","30.93","3.11","Aphanes cornucopioides","99","62.58","32.24","3.24","Aphanes cornucopioides","99","188.45","95.92","9.64"
"116","Rubus glaucus","116","148.42","41.39","3.84","Rubus glaucus","116","95.73","11.98","1.11","Rubus glaucus","116","83.85","6.09","0.57","Rubus glaucus","116","423.22","215.47","20.01","Rubus glaucus","116","205.47","46.51","4.32","Rubus glaucus","116","91.04","39.34","3.65","Rubus glaucus","116","114.43","18.81","1.75","Rubus glaucus","116","148.24","40.62","3.77","Rubus glaucus","116","145.98","42.38","3.93","Rubus glaucus","116","152.69","42.43","3.94","Rubus glaucus","116","142.06","40.99","3.81","Rubus glaucus","116","1984.75","713.29","66.23","Rubus glaucus","116","285.92","124.53","11.56","Rubus glaucus","116","62.24","30.79","2.86","Rubus glaucus","116","41.89","16.53","1.53","Rubus glaucus","116","729.08","314.06","29.16","Rubus glaucus","116","226.78","101.05","9.38","Rubus glaucus","116","511.47","192.86","17.91","Rubus glaucus","116","403.66","223.64","20.76"
"117","Geum reptans","33","5.58","28.36","4.94","Geum reptans","33","69.12","14.07","2.45","Geum reptans","33","28.97","2.36","0.41","Geum reptans","33","5759.33","500.9","87.2","Geum reptans","33","128.55","42.66","7.43","Geum reptans","33","-103.85","18.94","3.3","Geum reptans","33","232.39","29.39","5.12","Geum reptans","33","48.15","59.03","10.28","Geum reptans","33","-31.12","62.43","10.87","Geum reptans","33","78.55","33.43","5.82","Geum reptans","33","-65.97","21.3","3.71","Geum reptans","33","1326.15","269.62","46.93","Geum reptans","33","150","17.54","3.05","Geum reptans","33","78.94","25.95","4.52","Geum reptans","33","21.97","9.47","1.65","Geum reptans","33","426.09","52.34","9.11","Geum reptans","33","255.88","83.73","14.58","Geum reptans","33","405.55","48.35","8.42","Geum reptans","33","277.15","108.98","18.97"
"118","Rubus pedemontanus","362","72.59","9.06","0.48","Rubus pedemontanus","362","70.67","9.02","0.47","Rubus pedemontanus","362","26.8","2.35","0.12","Rubus pedemontanus","362","6696.1","705.88","37.1","Rubus pedemontanus","362","209.84","13.9","0.73","Rubus pedemontanus","362","-48.96","21.36","1.12","Rubus pedemontanus","362","258.8","27.86","1.46","Rubus pedemontanus","362","138.66","31.55","1.66","Rubus pedemontanus","362","8.89","22.43","1.18","Rubus pedemontanus","362","157.5","9.56","0.5","Rubus pedemontanus","362","-13.48","18.05","0.95","Rubus pedemontanus","362","667.49","117.2","6.16","Rubus pedemontanus","362","80.37","13.98","0.73","Rubus pedemontanus","362","34.61","7.95","0.42","Rubus pedemontanus","362","27.46","7.3","0.38","Rubus pedemontanus","362","228.91","41.8","2.2","Rubus pedemontanus","362","112.44","25.64","1.35","Rubus pedemontanus","362","213.43","41.64","2.19","Rubus pedemontanus","362","132.31","30.87","1.62"
"119","Cliffortia pedunculata","24","151.29","8.96","1.83","Cliffortia pedunculata","24","99.38","10.1","2.06","Cliffortia pedunculata","24","53.54","1.1","0.22","Cliffortia pedunculata","24","2992","315.31","64.36","Cliffortia pedunculata","24","249.12","14","2.86","Cliffortia pedunculata","24","65.04","9.48","1.94","Cliffortia pedunculata","24","184.08","18.36","3.75","Cliffortia pedunculata","24","117.75","9.03","1.84","Cliffortia pedunculata","24","189.04","9.44","1.93","Cliffortia pedunculata","24","189.58","9.96","2.03","Cliffortia pedunculata","24","113.79","9.11","1.86","Cliffortia pedunculata","24","916.83","136.93","27.95","Cliffortia pedunculata","24","139.04","24.7","5.04","Cliffortia pedunculata","24","28.38","3.91","0.8","Cliffortia pedunculata","24","55.5","4.86","0.99","Cliffortia pedunculata","24","401.42","70.36","14.36","Cliffortia pedunculata","24","90.75","11.4","2.33","Cliffortia pedunculata","24","91.54","11.34","2.31","Cliffortia pedunculata","24","397.21","67.1","13.7"
"120","Alchemilla alpina","1398","31.17","30.37","0.81","Alchemilla alpina","1398","63.03","12.02","0.32","Alchemilla alpina","1398","25.92","2.08","0.06","Alchemilla alpina","1398","6239.85","1166.79","31.21","Alchemilla alpina","1398","160.46","21.05","0.56","Alchemilla alpina","1398","-78.91","47.86","1.28","Alchemilla alpina","1398","239.37","46.32","1.24","Alchemilla alpina","1398","64.39","41.25","1.1","Alchemilla alpina","1398","15.07","55.72","1.49","Alchemilla alpina","1398","113.28","22.79","0.61","Alchemilla alpina","1398","-45.58","42.23","1.13","Alchemilla alpina","1398","1180.1","528.1","14.12","Alchemilla alpina","1398","144.51","65.14","1.74","Alchemilla alpina","1398","56.78","24.17","0.65","Alchemilla alpina","1398","28.86","4.89","0.13","Alchemilla alpina","1398","404.2","186.93","5","Alchemilla alpina","1398","190.68","84.08","2.25","Alchemilla alpina","1398","292.63","82.7","2.21","Alchemilla alpina","1398","291.77","160.11","4.28"
"121","Cliffortia polygonifolia","41","160.51","12.06","1.88","Cliffortia polygonifolia","41","103.34","18.04","2.82","Cliffortia polygonifolia","41","53.71","1.19","0.19","Cliffortia polygonifolia","41","3098.56","556.14","86.85","Cliffortia polygonifolia","41","260.73","21.41","3.34","Cliffortia polygonifolia","41","70.22","17.36","2.71","Cliffortia polygonifolia","41","190.51","32.66","5.1","Cliffortia polygonifolia","41","125.71","12.15","1.9","Cliffortia polygonifolia","41","198.9","13.29","2.08","Cliffortia polygonifolia","41","199.46","13.35","2.08","Cliffortia polygonifolia","41","121.12","13.52","2.11","Cliffortia polygonifolia","41","794.95","207.13","32.35","Cliffortia polygonifolia","41","127.24","33.21","5.19","Cliffortia polygonifolia","41","21.98","7.06","1.1","Cliffortia polygonifolia","41","58.83","5.95","0.93","Cliffortia polygonifolia","41","360.56","95.22","14.87","Cliffortia polygonifolia","41","73.71","19.9","3.11","Cliffortia polygonifolia","41","75.41","20.31","3.17","Cliffortia polygonifolia","41","356.17","96.04","15"
"122","Bencomia caudata","14","156.5","20.3","5.43","Bencomia caudata","14","72.57","3.08","0.82","Bencomia caudata","14","44","2.86","0.76","Bencomia caudata","14","3062.29","390.22","104.29","Bencomia caudata","14","250.5","12.88","3.44","Bencomia caudata","14","86.5","24.72","6.61","Bencomia caudata","14","164","12.43","3.32","Bencomia caudata","14","130.07","24.73","6.61","Bencomia caudata","14","192.36","13.67","3.65","Bencomia caudata","14","199.36","14.66","3.92","Bencomia caudata","14","121.21","24.37","6.51","Bencomia caudata","14","424.71","86.36","23.08","Bencomia caudata","14","84.07","16.72","4.47","Bencomia caudata","14","1.21","0.58","0.16","Bencomia caudata","14","81.79","2.01","0.54","Bencomia caudata","14","231.79","46.35","12.39","Bencomia caudata","14","7.57","2.31","0.62","Bencomia caudata","14","14.07","2.73","0.73","Bencomia caudata","14","200.93","40.04","10.7"
"123","Cliffortia pungens","19","133","22.09","5.07","Cliffortia pungens","19","126.79","9.6","2.2","Cliffortia pungens","19","54.89","1.41","0.32","Cliffortia pungens","19","3670.68","390.26","89.53","Cliffortia pungens","19","255.79","24.75","5.68","Cliffortia pungens","19","26.47","20.35","4.67","Cliffortia pungens","19","229.32","22.01","5.05","Cliffortia pungens","19","87.32","20.86","4.79","Cliffortia pungens","19","178.53","22.51","5.16","Cliffortia pungens","19","179.11","22.64","5.19","Cliffortia pungens","19","86.26","21.94","5.03","Cliffortia pungens","19","621.89","122.17","28.03","Cliffortia pungens","19","93.63","22.7","5.21","Cliffortia pungens","19","19.16","5.13","1.18","Cliffortia pungens","19","52.26","9.6","2.2","Cliffortia pungens","19","267.84","66.82","15.33","Cliffortia pungens","19","68.68","11.17","2.56","Cliffortia pungens","19","68.89","10.52","2.41","Cliffortia pungens","19","267.05","67.61","15.51"
"124","Pyrus spinosa","137","146.34","23.88","2.04","Pyrus spinosa","137","78.77","14.01","1.2","Pyrus spinosa","137","32.26","2.91","0.25","Pyrus spinosa","137","5714.74","490.59","41.91","Pyrus spinosa","137","279.24","21.49","1.84","Pyrus spinosa","137","39.98","28.78","2.46","Pyrus spinosa","137","239.26","27.25","2.33","Pyrus spinosa","137","109.38","34.33","2.93","Pyrus spinosa","137","215.26","33.28","2.84","Pyrus spinosa","137","221.42","21.46","1.83","Pyrus spinosa","137","77.29","26.93","2.3","Pyrus spinosa","137","736.76","204.28","17.45","Pyrus spinosa","137","119.93","45.98","3.93","Pyrus spinosa","137","14.03","12.81","1.09","Pyrus spinosa","137","54.99","22.97","1.96","Pyrus spinosa","137","319.06","120.44","10.29","Pyrus spinosa","137","62.02","46.9","4.01","Pyrus spinosa","137","71.18","48.98","4.18","Pyrus spinosa","137","276.52","118.96","10.16"
"125","Prunus spinulosa","161","155.28","23.54","1.86","Prunus spinulosa","161","83.7","10.3","0.81","Prunus spinulosa","161","28.19","3.95","0.31","Prunus spinulosa","161","7407.81","1119.13","88.2","Prunus spinulosa","161","304.06","21.62","1.7","Prunus spinulosa","161","9.69","34.67","2.73","Prunus spinulosa","161","294.37","38.02","3","Prunus spinulosa","161","224.14","21.87","1.72","Prunus spinulosa","161","69.32","36.8","2.9","Prunus spinulosa","161","249.68","18.76","1.48","Prunus spinulosa","161","60.09","32.15","2.53","Prunus spinulosa","161","1867.74","485.54","38.27","Prunus spinulosa","161","277.05","68.64","5.41","Prunus spinulosa","161","63.01","28.65","2.26","Prunus spinulosa","161","46.73","11.12","0.88","Prunus spinulosa","161","731.91","185.86","14.65","Prunus spinulosa","161","214.9","86.76","6.84","Prunus spinulosa","161","666.59","185.95","14.65","Prunus spinulosa","161","225.22","92.71","7.31"
