"","species","n_bio1","mean_bio1","sd_bio1","se_bio1","species.1","n_bio2","mean_bio2","sd_bio2","se_bio2","species.2","n_bio3","mean_bio3","sd_bio3","se_bio3","species.3","n_bio4","mean_bio4","sd_bio4","se_bio4","species.4","n_bio5","mean_bio5","sd_bio5","se_bio5","species.5","n_bio6","mean_bio6","sd_bio6","se_bio6","species.6","n_bio7","mean_bio7","sd_bio7","se_bio7","species.7","n_bio8","mean_bio8","sd_bio8","se_bio8","species.8","n_bio9","mean_bio9","sd_bio9","se_bio9","species.9","n_bio10","mean_bio10","sd_bio10","se_bio10","species.10","n_bio11","mean_bio11","sd_bio11","se_bio11","species.11","n_bio12","mean_bio12","sd_bio12","se_bio12","species.12","n_bio13","mean_bio13","sd_bio13","se_bio13","species.13","n_bio14","mean_bio14","sd_bio14","se_bio14","species.14","n_bio15","mean_bio15","sd_bio15","se_bio15","species.15","n_bio16","mean_bio16","sd_bio16","se_bio16","species.16","n_bio17","mean_bio17","sd_bio17","se_bio17","species.17","n_bio18","mean_bio18","sd_bio18","se_bio18","species.18","n_bio19","mean_bio19","sd_bio19","se_bio19","species.19","n_alt","mean_alt","sd_alt","se_alt"
"54","Andromeda polifolia","364","33.29","33.88","1.78","Andromeda polifolia","364","75.66","11.66","0.61","Andromeda polifolia","364","24.76","3.71","0.19","Andromeda polifolia","364","8039.82","1925.42","100.92","Andromeda polifolia","364","194.95","32.97","1.73","Andromeda polifolia","364","-111.32","58.9","3.09","Andromeda polifolia","364","306.26","67.18","3.52","Andromeda polifolia","364","115.66","49.44","2.59","Andromeda polifolia","364","-26.57","56.17","2.94","Andromeda polifolia","364","137.63","29.02","1.52","Andromeda polifolia","364","-68.57","50.78","2.66","Andromeda polifolia","364","742.93","332.66","17.44","Andromeda polifolia","364","93.41","39.4","2.07","Andromeda polifolia","364","36.98","17.13","0.9","Andromeda polifolia","364","29.29","6.68","0.35","Andromeda polifolia","364","255.98","111.14","5.83","Andromeda polifolia","364","122.19","58.35","3.06","Andromeda polifolia","364","226.46","62.69","3.29","Andromeda polifolia","364","160.57","102.19","5.36","Andromeda polifolia","364","254.79","288.61","15.13"
"55","Gaultheria shallon","39","94.87","24.74","3.96","Gaultheria shallon","39","104.64","22.68","3.63","Gaultheria shallon","39","44.26","8.02","1.28","Gaultheria shallon","39","4653.05","1095.71","175.45","Gaultheria shallon","39","232.1","29.84","4.78","Gaultheria shallon","39","-3.54","32.22","5.16","Gaultheria shallon","39","235.64","43.66","6.99","Gaultheria shallon","39","43.56","33.07","5.3","Gaultheria shallon","39","154.69","18.88","3.02","Gaultheria shallon","39","156.28","18.63","2.98","Gaultheria shallon","39","39","33.93","5.43","Gaultheria shallon","39","1486.49","530.2","84.9","Gaultheria shallon","39","245.1","78.26","12.53","Gaultheria shallon","39","24.79","18.56","2.97","Gaultheria shallon","39","64.18","13.25","2.12","Gaultheria shallon","39","693.41","230.18","36.86","Gaultheria shallon","39","103.85","62.55","10.02","Gaultheria shallon","39","111.05","64.83","10.38","Gaultheria shallon","39","647.03","216.86","34.73","Gaultheria shallon","39","424.69","484.82","77.63"
"56","Rhododendron tomentosum","123","29.66","32.76","2.95","Rhododendron tomentosum","123","78.23","8.18","0.74","Rhododendron tomentosum","123","24.26","2.06","0.19","Rhododendron tomentosum","123","8307.32","1151.41","103.82","Rhododendron tomentosum","123","198.1","20.58","1.86","Rhododendron tomentosum","123","-120.42","54.44","4.91","Rhododendron tomentosum","123","318.52","43.46","3.92","Rhododendron tomentosum","123","123.21","27.93","2.52","Rhododendron tomentosum","123","-35.09","38.82","3.5","Rhododendron tomentosum","123","139.1","21.14","1.91","Rhododendron tomentosum","123","-75.08","45.75","4.13","Rhododendron tomentosum","123","583.21","96.66","8.72","Rhododendron tomentosum","123","74.8","8.47","0.76","Rhododendron tomentosum","123","29.72","5.91","0.53","Rhododendron tomentosum","123","30.13","5.56","0.5","Rhododendron tomentosum","123","204.47","27.01","2.44","Rhododendron tomentosum","123","94.91","18.5","1.67","Rhododendron tomentosum","123","193.02","23.55","2.12","Rhododendron tomentosum","123","117.51","26.93","2.43","Rhododendron tomentosum","123","159.15","141.55","12.76"
"57","Rhododendron maximum","51","95.12","21.97","3.08","Rhododendron maximum","51","118.31","10.64","1.49","Rhododendron maximum","51","32.39","3.14","0.44","Rhododendron maximum","51","8612","598.57","83.82","Rhododendron maximum","51","276.51","18.54","2.6","Rhododendron maximum","51","-83.57","28.53","3.99","Rhododendron maximum","51","360.08","20.89","2.93","Rhododendron maximum","51","156.2","59.2","8.29","Rhododendron maximum","51","21.1","83.77","11.73","Rhododendron maximum","51","202.78","18.86","2.64","Rhododendron maximum","51","-19.82","28.05","3.93","Rhododendron maximum","51","1138.27","102.23","14.32","Rhododendron maximum","51","115.59","10.23","1.43","Rhododendron maximum","51","74.37","9.87","1.38","Rhododendron maximum","51","12.63","2.97","0.42","Rhododendron maximum","51","324.71","25.27","3.54","Rhododendron maximum","51","240.98","30.11","4.22","Rhododendron maximum","51","308.39","28.87","4.04","Rhododendron maximum","51","251.86","38.93","5.45","Rhododendron maximum","51","355.47","291.87","40.87"
"58","Acrotriche serrulata","49","134.53","17.92","2.56","Acrotriche serrulata","49","109.96","18.39","2.63","Acrotriche serrulata","49","48.16","2.54","0.36","Acrotriche serrulata","49","4108.12","907.1","129.59","Acrotriche serrulata","49","258.98","28.59","4.08","Acrotriche serrulata","49","32","26.92","3.85","Acrotriche serrulata","49","226.98","41.52","5.93","Acrotriche serrulata","49","112.51","42.91","6.13","Acrotriche serrulata","49","166.98","40.35","5.76","Acrotriche serrulata","49","187","20.2","2.89","Acrotriche serrulata","49","81.61","22.45","3.21","Acrotriche serrulata","49","830.98","219.47","31.35","Acrotriche serrulata","49","99.43","28.45","4.06","Acrotriche serrulata","49","41.31","14.92","2.13","Acrotriche serrulata","49","26.71","11.3","1.61","Acrotriche serrulata","49","274.41","78.08","11.15","Acrotriche serrulata","49","141.1","48.53","6.93","Acrotriche serrulata","49","159.47","74.25","10.61","Acrotriche serrulata","49","251.06","82.07","11.72","Acrotriche serrulata","49","353.92","380.29","54.33"
"59","Richea acerosa","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Richea acerosa","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Richea acerosa","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Richea acerosa","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Richea acerosa","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Richea acerosa","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Richea acerosa","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Richea acerosa","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Richea acerosa","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Richea acerosa","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Richea acerosa","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Richea acerosa","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Richea acerosa","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Richea acerosa","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Richea acerosa","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Richea acerosa","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Richea acerosa","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Richea acerosa","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Richea acerosa","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Richea acerosa","not_enough_points","not_enough_points","not_enough_points","not_enough_points"
"60","Prionotes cerinthoides","9","93.22","20.86","6.95","Prionotes cerinthoides","9","83","9.17","3.06","Prionotes cerinthoides","9","49","1.66","0.55","Prionotes cerinthoides","9","2893.44","329.62","109.87","Prionotes cerinthoides","9","189","19.29","6.43","Prionotes cerinthoides","9","21","22.06","7.35","Prionotes cerinthoides","9","168","17.76","5.92","Prionotes cerinthoides","9","58.78","22.48","7.49","Prionotes cerinthoides","9","131","19.26","6.42","Prionotes cerinthoides","9","131","19.26","6.42","Prionotes cerinthoides","9","56.22","23.5","7.83","Prionotes cerinthoides","9","1618.22","454.99","151.66","Prionotes cerinthoides","9","190.33","60.58","20.19","Prionotes cerinthoides","9","70.89","18.19","6.06","Prionotes cerinthoides","9","26.56","5.81","1.94","Prionotes cerinthoides","9","531.22","164.42","54.81","Prionotes cerinthoides","9","251.56","66.83","22.28","Prionotes cerinthoides","9","253.22","64.49","21.5","Prionotes cerinthoides","9","520.44","170.54","56.85","Prionotes cerinthoides","9","483.78","328.59","109.53"
"61","Conostephium pendulum","7","181.29","10.9","4.12","Conostephium pendulum","7","113.57","17.5","6.61","Conostephium pendulum","7","50.29","1.7","0.64","Conostephium pendulum","7","3910.71","648.91","245.26","Conostephium pendulum","7","308.86","27.99","10.58","Conostephium pendulum","7","84.71","9.81","3.71","Conostephium pendulum","7","224.14","33.94","12.83","Conostephium pendulum","7","137.43","4.43","1.67","Conostephium pendulum","7","225.71","13.67","5.17","Conostephium pendulum","7","234.14","18.27","6.91","Conostephium pendulum","7","134.86","7.1","2.68","Conostephium pendulum","7","743.71","207.24","78.33","Conostephium pendulum","7","157.86","39.38","14.88","Conostephium pendulum","7","8.29","3.04","1.15","Conostephium pendulum","7","83.29","3.35","1.27","Conostephium pendulum","7","413.86","110.99","41.95","Conostephium pendulum","7","36","6.27","2.37","Conostephium pendulum","7","41.29","6.95","2.63","Conostephium pendulum","7","395","87.58","33.1","Conostephium pendulum","7","88.57","88.07","33.29"
"62","Epacris impressa","54","132.31","18.81","2.56","Epacris impressa","54","98.78","20.48","2.79","Epacris impressa","54","49.19","2.31","0.31","Epacris impressa","54","3477.74","702.8","95.64","Epacris impressa","54","241.56","30.62","4.17","Epacris impressa","54","42.7","23.22","3.16","Epacris impressa","54","198.85","39.17","5.33","Epacris impressa","54","111.52","36.45","4.96","Epacris impressa","54","161.59","37.22","5.07","Epacris impressa","54","176.87","21.65","2.95","Epacris impressa","54","87.57","19.76","2.69","Epacris impressa","54","922.22","391.99","53.34","Epacris impressa","54","109.96","44.21","6.02","Epacris impressa","54","44.06","20.3","2.76","Epacris impressa","54","28.44","12.51","1.7","Epacris impressa","54","306.11","126.08","17.16","Epacris impressa","54","149.89","70.94","9.65","Epacris impressa","54","165.61","88.28","12.01","Epacris impressa","54","284.69","127.1","17.3","Epacris impressa","54","228.81","250.03","34.02"
"63","Lissanthe sapida","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Lissanthe sapida","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Lissanthe sapida","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Lissanthe sapida","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Lissanthe sapida","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Lissanthe sapida","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Lissanthe sapida","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Lissanthe sapida","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Lissanthe sapida","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Lissanthe sapida","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Lissanthe sapida","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Lissanthe sapida","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Lissanthe sapida","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Lissanthe sapida","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Lissanthe sapida","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Lissanthe sapida","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Lissanthe sapida","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Lissanthe sapida","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Lissanthe sapida","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Lissanthe sapida","not_enough_points","not_enough_points","not_enough_points","not_enough_points"
"64","Sprengelia incarnata","52","135.71","21.17","2.94","Sprengelia incarnata","52","98.56","18.23","2.53","Sprengelia incarnata","52","49.06","1.82","0.25","Sprengelia incarnata","52","3521.69","760.14","105.41","Sprengelia incarnata","52","241.27","30.22","4.19","Sprengelia incarnata","52","41.88","21.65","3","Sprengelia incarnata","52","199.38","37.91","5.26","Sprengelia incarnata","52","125.02","48.55","6.73","Sprengelia incarnata","52","152.6","40.84","5.66","Sprengelia incarnata","52","180.25","25.26","3.5","Sprengelia incarnata","52","89.77","19.85","2.75","Sprengelia incarnata","52","1016.29","371.77","51.56","Sprengelia incarnata","52","124.31","47.84","6.63","Sprengelia incarnata","52","47.38","17.87","2.48","Sprengelia incarnata","52","28.04","11.02","1.53","Sprengelia incarnata","52","343.69","134.69","18.68","Sprengelia incarnata","52","164.1","63.06","8.74","Sprengelia incarnata","52","216.65","128.09","17.76","Sprengelia incarnata","52","289.56","122.2","16.95","Sprengelia incarnata","52","266.04","308.04","42.72"
"65","Leucopogon concinnus","11","156.27","5.39","1.63","Leucopogon concinnus","11","118.45","8.59","2.59","Leucopogon concinnus","11","51.82","2.27","0.68","Leucopogon concinnus","11","3840.55","488.1","147.17","Leucopogon concinnus","11","286.18","14.94","4.5","Leucopogon concinnus","11","58.91","8.3","2.5","Leucopogon concinnus","11","227.27","22.07","6.65","Leucopogon concinnus","11","114.36","6.99","2.11","Leucopogon concinnus","11","203.36","8.67","2.61","Leucopogon concinnus","11","206","7.86","2.37","Leucopogon concinnus","11","109.36","7.28","2.2","Leucopogon concinnus","11","569.27","225.1","67.87","Leucopogon concinnus","11","88.73","50.92","15.35","Leucopogon concinnus","11","17.09","3.96","1.19","Leucopogon concinnus","11","48.18","16.32","4.92","Leucopogon concinnus","11","244.64","133.93","40.38","Leucopogon concinnus","11","61.45","11.78","3.55","Leucopogon concinnus","11","63.27","12.52","3.77","Leucopogon concinnus","11","243.55","134.41","40.53","Leucopogon concinnus","11","252.91","90.62","27.32"
"66","Richea gunnii","6","74.5","17.8","7.27","Richea gunnii","6","85","4.29","1.75","Richea gunnii","6","48.17","1.47","0.6","Richea gunnii","6","3070.33","90.1","36.78","Richea gunnii","6","176.17","15.97","6.52","Richea gunnii","6","1.17","14.39","5.87","Richea gunnii","6","175","5.37","2.19","Richea gunnii","6","37.83","17.27","7.05","Richea gunnii","6","114","17.55","7.16","Richea gunnii","6","114","17.55","7.16","Richea gunnii","6","35.17","18.21","7.43","Richea gunnii","6","1751.17","566.97","231.46","Richea gunnii","6","200.5","66.92","27.32","Richea gunnii","6","80.5","19.54","7.98","Richea gunnii","6","24","5.55","2.27","Richea gunnii","6","566.17","194.06","79.22","Richea gunnii","6","285.5","77.57","31.67","Richea gunnii","6","285.5","77.57","31.67","Richea gunnii","6","553.5","190.38","77.72","Richea gunnii","6","820.67","259.91","106.11"
"67","Leucopogon muticus","37","164.97","26.48","4.35","Leucopogon muticus","37","135.49","12.57","2.07","Leucopogon muticus","37","49.38","1.77","0.29","Leucopogon muticus","37","4903.78","501.39","82.43","Leucopogon muticus","37","297.27","26.46","4.35","Leucopogon muticus","37","25.24","21.09","3.47","Leucopogon muticus","37","272.03","24.49","4.03","Leucopogon muticus","37","213.86","44.66","7.34","Leucopogon muticus","37","118.46","27.19","4.47","Leucopogon muticus","37","224.57","25.28","4.16","Leucopogon muticus","37","99.11","26.32","4.33","Leucopogon muticus","37","793.76","174.3","28.65","Leucopogon muticus","37","104.81","24.75","4.07","Leucopogon muticus","37","39.11","12.01","1.97","Leucopogon muticus","37","31.76","10.92","1.8","Leucopogon muticus","37","285.22","68.06","11.19","Leucopogon muticus","37","133.97","36.6","6.02","Leucopogon muticus","37","275","62.87","10.34","Leucopogon muticus","37","146.73","51.82","8.52","Leucopogon muticus","37","500.76","285.49","46.93"
"68","Leucopogon ericoides","69","140.29","26.37","3.17","Leucopogon ericoides","69","104.71","21.65","2.61","Leucopogon ericoides","69","48.57","2.4","0.29","Leucopogon ericoides","69","3849.07","953.15","114.75","Leucopogon ericoides","69","254.74","35.03","4.22","Leucopogon ericoides","69","40.3","28.2","3.39","Leucopogon ericoides","69","214.43","46.6","5.61","Leucopogon ericoides","69","130.33","57.79","6.96","Leucopogon ericoides","69","155.03","37.86","4.56","Leucopogon ericoides","69","189.04","28.89","3.48","Leucopogon ericoides","69","90.29","27.69","3.33","Leucopogon ericoides","69","971.13","375.38","45.19","Leucopogon ericoides","69","117.39","50.15","6.04","Leucopogon ericoides","69","45.64","16.51","1.99","Leucopogon ericoides","69","26.65","9.86","1.19","Leucopogon ericoides","69","323.99","137.91","16.6","Leucopogon ericoides","69","159.16","57.47","6.92","Leucopogon ericoides","69","214.62","131.02","15.77","Leucopogon ericoides","69","270.71","112.49","13.54","Leucopogon ericoides","69","273.75","332.45","40.02"
"69","Monotoca scoparia","70","148.41","37.95","4.54","Monotoca scoparia","70","111.29","20.61","2.46","Monotoca scoparia","70","48.24","2.45","0.29","Monotoca scoparia","70","4173.99","832.07","99.45","Monotoca scoparia","70","263.37","37.69","4.5","Monotoca scoparia","70","34.91","34.55","4.13","Monotoca scoparia","70","228.46","41.71","4.99","Monotoca scoparia","70","164.84","70.53","8.43","Monotoca scoparia","70","138.23","38.67","4.62","Monotoca scoparia","70","199.81","36.94","4.42","Monotoca scoparia","70","92.83","38.62","4.62","Monotoca scoparia","70","1061.1","322.89","38.59","Monotoca scoparia","70","136.1","47.5","5.68","Monotoca scoparia","70","48.17","15.35","1.83","Monotoca scoparia","70","30.24","13.44","1.61","Monotoca scoparia","70","373.39","132.86","15.88","Monotoca scoparia","70","168.79","49.91","5.97","Monotoca scoparia","70","306.71","134.57","16.08","Monotoca scoparia","70","240.77","114.82","13.72","Monotoca scoparia","70","494.24","423.01","50.56"
"70","Leucopogon conostephioides","28","174.75","15.81","2.99","Leucopogon conostephioides","28","125.82","15.39","2.91","Leucopogon conostephioides","28","50.21","2.13","0.4","Leucopogon conostephioides","28","4406.46","808.44","152.78","Leucopogon conostephioides","28","315.57","30.08","5.68","Leucopogon conostephioides","28","66.39","15.75","2.98","Leucopogon conostephioides","28","249.18","36.32","6.86","Leucopogon conostephioides","28","127.79","15.41","2.91","Leucopogon conostephioides","28","218.14","17.74","3.35","Leucopogon conostephioides","28","232.32","23.04","4.35","Leucopogon conostephioides","28","120.54","14.17","2.68","Leucopogon conostephioides","28","519.39","210.68","39.81","Leucopogon conostephioides","28","96.46","49.4","9.34","Leucopogon conostephioides","28","11.5","4.38","0.83","Leucopogon conostephioides","28","61.75","20.26","3.83","Leucopogon conostephioides","28","256.25","130.66","24.69","Leucopogon conostephioides","28","43.32","13.03","2.46","Leucopogon conostephioides","28","50.11","10.74","2.03","Leucopogon conostephioides","28","252.61","131.72","24.89","Leucopogon conostephioides","28","222.57","121.96","23.05"
"71","Astroloma serratifolium","30","179.77","16.03","2.93","Astroloma serratifolium","30","134.63","9.13","1.67","Astroloma serratifolium","30","49.07","2.16","0.39","Astroloma serratifolium","30","4971.23","701","127.98","Astroloma serratifolium","30","332.63","24.73","4.52","Astroloma serratifolium","30","59.57","13.62","2.49","Astroloma serratifolium","30","273.07","27.04","4.94","Astroloma serratifolium","30","126.73","14.69","2.68","Astroloma serratifolium","30","219.13","14.9","2.72","Astroloma serratifolium","30","243.97","22.23","4.06","Astroloma serratifolium","30","117.9","13.79","2.52","Astroloma serratifolium","30","388.67","123.87","22.62","Astroloma serratifolium","30","69.63","31.58","5.77","Astroloma serratifolium","30","10.93","3.89","0.71","Astroloma serratifolium","30","55.93","17.77","3.24","Astroloma serratifolium","30","182.77","80.8","14.75","Astroloma serratifolium","30","39.93","12.33","2.25","Astroloma serratifolium","30","48.33","9.96","1.82","Astroloma serratifolium","30","177.87","83.01","15.16","Astroloma serratifolium","30","290.33","103.48","18.89"
"72","Melichrus urceolatus","76","168.25","33.84","3.88","Melichrus urceolatus","76","132.54","14.7","1.69","Melichrus urceolatus","76","48.63","2.55","0.29","Melichrus urceolatus","76","4939.8","636.85","73.05","Melichrus urceolatus","76","301.86","32.71","3.75","Melichrus urceolatus","76","31.7","27.91","3.2","Melichrus urceolatus","76","270.16","29.12","3.34","Melichrus urceolatus","76","203.22","64.85","7.44","Melichrus urceolatus","76","135.92","43.43","4.98","Melichrus urceolatus","76","228.47","32.42","3.72","Melichrus urceolatus","76","102.13","33.76","3.87","Melichrus urceolatus","76","769.78","194.18","22.27","Melichrus urceolatus","76","104.24","31.3","3.59","Melichrus urceolatus","76","35.37","12.61","1.45","Melichrus urceolatus","76","33.3","14.7","1.69","Melichrus urceolatus","76","283.32","88.06","10.1","Melichrus urceolatus","76","123.78","38.78","4.45","Melichrus urceolatus","76","263.76","95.84","10.99","Melichrus urceolatus","76","146.36","63.95","7.34","Melichrus urceolatus","76","470.96","292.85","33.59"
"73","Dracophyllum sayeri","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Dracophyllum sayeri","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Dracophyllum sayeri","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Dracophyllum sayeri","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Dracophyllum sayeri","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Dracophyllum sayeri","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Dracophyllum sayeri","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Dracophyllum sayeri","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Dracophyllum sayeri","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Dracophyllum sayeri","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Dracophyllum sayeri","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Dracophyllum sayeri","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Dracophyllum sayeri","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Dracophyllum sayeri","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Dracophyllum sayeri","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Dracophyllum sayeri","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Dracophyllum sayeri","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Dracophyllum sayeri","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Dracophyllum sayeri","not_enough_points","not_enough_points","not_enough_points","not_enough_points","Dracophyllum sayeri","not_enough_points","not_enough_points","not_enough_points","not_enough_points"
"74","Astroloma humifusum","82","146.72","19.14","2.11","Astroloma humifusum","82","117.3","22.16","2.45","Astroloma humifusum","82","48.5","2.47","0.27","Astroloma humifusum","82","4350.51","994.84","109.86","Astroloma humifusum","82","276.93","34.84","3.85","Astroloma humifusum","82","36.73","25.11","2.77","Astroloma humifusum","82","240.2","47.43","5.24","Astroloma humifusum","82","128.91","52.35","5.78","Astroloma humifusum","82","172.04","46.98","5.19","Astroloma humifusum","82","202.1","25.34","2.8","Astroloma humifusum","82","90.62","19.8","2.19","Astroloma humifusum","82","657.46","257.9","28.48","Astroloma humifusum","82","81.23","32.54","3.59","Astroloma humifusum","82","31.89","15.47","1.71","Astroloma humifusum","82","29.91","13.47","1.49","Astroloma humifusum","82","223.82","88.59","9.78","Astroloma humifusum","82","108.74","52.73","5.82","Astroloma humifusum","82","131.13","82.65","9.13","Astroloma humifusum","82","198.35","81.83","9.04","Astroloma humifusum","82","298.55","272.68","30.11"
"75","Leucopogon pendulus","8","157.38","7.31","2.58","Leucopogon pendulus","8","100.75","16.02","5.66","Leucopogon pendulus","8","52.25","2.38","0.84","Leucopogon pendulus","8","3216.88","532.38","188.22","Leucopogon pendulus","8","266.12","15.51","5.48","Leucopogon pendulus","8","74.62","16.58","5.86","Leucopogon pendulus","8","191.5","30.48","10.78","Leucopogon pendulus","8","122.12","14.78","5.23","Leucopogon pendulus","8","198.5","5.21","1.84","Leucopogon pendulus","8","200","4.41","1.56","Leucopogon pendulus","8","118.75","13.1","4.63","Leucopogon pendulus","8","876.12","239.15","84.55","Leucopogon pendulus","8","153.12","52.93","18.71","Leucopogon pendulus","8","17.25","4.89","1.73","Leucopogon pendulus","8","63.62","12.29","4.35","Leucopogon pendulus","8","421.12","143.78","50.83","Leucopogon pendulus","8","61.5","13.56","4.79","Leucopogon pendulus","8","67.25","15.07","5.33","Leucopogon pendulus","8","391","119.28","42.17","Leucopogon pendulus","8","127","128.41","45.4"
"76","Styphelia adscendens","26","128.15","13.98","2.74","Styphelia adscendens","26","100.42","21.29","4.18","Styphelia adscendens","26","50","2.24","0.44","Styphelia adscendens","26","3378.85","648.82","127.24","Styphelia adscendens","26","237.65","31.91","6.26","Styphelia adscendens","26","39.04","17.51","3.43","Styphelia adscendens","26","198.62","39.03","7.65","Styphelia adscendens","26","105.19","31.46","6.17","Styphelia adscendens","26","159.04","34.34","6.73","Styphelia adscendens","26","171.42","18.72","3.67","Styphelia adscendens","26","84.46","13.81","2.71","Styphelia adscendens","26","887.58","320.43","62.84","Styphelia adscendens","26","104.27","37.46","7.35","Styphelia adscendens","26","44.69","18.07","3.54","Styphelia adscendens","26","25.12","10.85","2.13","Styphelia adscendens","26","286.38","105.64","20.72","Styphelia adscendens","26","151.96","61.7","12.1","Styphelia adscendens","26","157.27","65.85","12.91","Styphelia adscendens","26","271.12","108.47","21.27","Styphelia adscendens","26","205.08","197.77","38.79"
"77","Richea continentis","7","71.29","16.71","6.32","Richea continentis","7","99.71","9.39","3.55","Richea continentis","7","42","2.31","0.87","Richea continentis","7","4677","288.85","109.18","Richea continentis","7","206.29","22.7","8.58","Richea continentis","7","-27.14","17.33","6.55","Richea continentis","7","233.43","13.94","5.27","Richea continentis","7","23","12.87","4.86","Richea continentis","7","130.86","17.59","6.65","Richea continentis","7","130.86","17.59","6.65","Richea continentis","7","11.71","17.24","6.52","Richea continentis","7","1601.43","245.5","92.79","Richea continentis","7","188.29","33.88","12.81","Richea continentis","7","68.43","10.28","3.89","Richea continentis","7","27.86","4.85","1.83","Richea continentis","7","534.86","97.12","36.71","Richea continentis","7","245.71","33.37","12.61","Richea continentis","7","248.86","28.6","10.81","Richea continentis","7","512.57","100.89","38.13","Richea continentis","7","1428.71","298.7","112.9"
"78","Brachyloma scortechinii","5","205.8","9.2","4.11","Brachyloma scortechinii","5","91","9.33","4.17","Brachyloma scortechinii","5","49.2","0.84","0.38","Brachyloma scortechinii","5","3296.6","224.6","100.44","Brachyloma scortechinii","5","286.2","5.93","2.65","Brachyloma scortechinii","5","103.4","18.34","8.2","Brachyloma scortechinii","5","182.8","15.58","6.97","Brachyloma scortechinii","5","241","10.98","4.91","Brachyloma scortechinii","5","180.4","15.71","7.03","Brachyloma scortechinii","5","243.8","6.8","3.04","Brachyloma scortechinii","5","160","11.79","5.27","Brachyloma scortechinii","5","1472.4","196.42","87.84","Brachyloma scortechinii","5","200.4","25.37","11.35","Brachyloma scortechinii","5","43.2","6.76","3.02","Brachyloma scortechinii","5","38.8","2.17","0.97","Brachyloma scortechinii","5","565.2","75.35","33.7","Brachyloma scortechinii","5","187.6","25.3","11.31","Brachyloma scortechinii","5","513.2","63.5","28.4","Brachyloma scortechinii","5","263.4","45","20.12","Brachyloma scortechinii","5","20.4","14.1","6.31"
